"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","60.500298","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","34","2","77.401085","0","370"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","36","3","43.542278","0","40"
"Globals","0","602","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","2","1","13.214262","0","55"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","5.528979","0","39"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","1","1","25.101944","0","219"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","4","1","9.583081","0","33"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","4","1","8.729174","0","27"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","2.572406","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","2","1","13.595993","0","31"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","6","1","22.254669","0","75"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.808326","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","9.149940","0","8"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","11.518139","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","9","1","95.796303","0","386"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","10","1","119.727234","0","635"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","681","10","1","374.023468","0","29297"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","11","1","57.449986","0","588"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","9","1","124.963722","0","1317"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.605164","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","5.654752","0","12"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","74","10","1","65.186005","0","500"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","121","22","1","96.580757","0","1072"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","74","18","1","68.904167","0","407"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","74","10","1","68.986702","0","488"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","6.078475","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","3","1","20.477558","0","68"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","6.295777","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.775336","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","11.935199","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","6.035697","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","6","1","39.259380","0","136"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","1","1","209.129822","0","336"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","3.609955","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","9.224591","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","115","115","1","109.032204","0","115"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1010","1038","1","659.506531","0","1038"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","12","1","26.264307","0","124"
"/Engine/Tutorial/SubEditors/TutorialAssets/TutorialMaterial.TutorialMaterial","0","12","12","1","11.775145","0","19"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","2.061737","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","1.991932","0","4"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","144","23","2","102.412704","0","881"
"/Game/Assets/Texture/Player/Skin01/BodyFlash.BodyFlash","0","24","10","1","23.664240","0","62"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","4","4","2","3.429189","0","4"
"/Game/Assets/Models/Items/Coin/Coin1.Coin1","0","24","5","1","21.440317","0","63"
"/Game/Assets/Models/Obstacle/Vehicle/Materials/Body_ncl1_2.Body_ncl1_2","0","12","10","1","11.544206","0","35"
"/Game/Assets/Models/Obstacle/Vehicle/Wheel.Wheel","0","12","12","1","12.915565","0","15"
"/Game/Assets/Models/Obstacle/Vehicle/Optics_ncl1_2.Optics_ncl1_2","0","12","12","1","12.673088","0","19"
"/Game/Assets/Models/Obstacle/Vehicle/Glass_ncl1_2.Glass_ncl1_2","0","12","12","1","13.699347","0","19"
"/Game/Assets/Models/Obstacle/Vehicle/Materials/Optics.Optics","0","12","3","1","12.516354","0","32"
"/Game/Assets/Models/Obstacle/Vehicle/Materials/Glass.Glass","0","28","1","1","83.273193","0","87"
